FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL,,,,
10/10/2016,18,-99,41,41,34,-99,39,46,32,-99,-99,39,25,-99,28,32,-99,33,-99,35,39,46,-99,33,33,,,,
10/10/2016,19,-99,33,37,31,-99,54,50,81,-99,-99,28,25,-99,30,33,-99,21,-99,60,40,44,-99,48,35,,,,
10/10/2016,20,-99,26,37,30,-99,63,28,62,-99,-99,26,24,-99,22,31,-99,25,-99,54,39,35,-99,50,39,,,,
10/10/2016,21,-99,21,35,26,-99,55,32,32,-99,-99,20,29,-99,19,30,-99,23,-99,42,31,25,-99,52,29,,,,
10/10/2016,22,-99,19,37,22,-99,38,23,54,-99,-99,18,23,-99,17,26,-99,20,-99,28,26,37,-99,55,25,,,,
10/10/2016,23,-99,18,34,23,-99,23,15,54,-99,-99,14,20,-99,18,21,-99,19,-99,26,27,32,-99,31,23,,,,
10/10/2016,24,-99,16,34,18,-99,31,22,41,-99,-99,13,21,-99,14,18,-99,15,-99,20,26,34,-99,34,22,,,,
11/10/2016,1,-99,13,31,20,26,17,12,29,-99,-99,14,17,26,17,18,-99,17,-99,18,24,25,-99,35,20,,,,
11/10/2016,2,-99,18,31,20,29,15,19,32,-99,-99,8,19,22,19,17,-99,17,-99,19,23,35,-99,33,23,,,,
11/10/2016,3,-99,14,31,19,29,16,4,35,-99,-99,10,16,31,21,17,-99,13,-99,16,28,32,-99,33,28,,,,
11/10/2016,4,-99,19,26,20,24,29,17,26,-99,-99,10,18,27,22,23,-99,14,-99,12,33,27,-99,25,30,,,,
11/10/2016,5,-99,20,23,25,30,40,13,35,-99,-99,7,22,35,23,26,-99,22,-99,16,26,25,-99,27,35,,,,
11/10/2016,6,-99,23,21,23,25,40,27,51,-99,-99,7,17,34,23,19,-99,25,-99,19,45,31,-99,28,35,,,,
11/10/2016,7,-99,19,31,30,27,71,-99,43,-99,-99,9,19,35,20,24,-99,36,-99,33,30,34,-99,45,49,,,,
11/10/2016,8,-99,21,37,30,40,77,-99,68,-99,-99,9,24,41,22,26,-99,34,-99,39,-99,85,-99,59,46,,,,
11/10/2016,9,-99,19,39,33,32,42,-99,34,-99,-99,11,19,27,36,32,-99,31,-99,18,-99,44,-99,29,41,,,,
11/10/2016,10,-99,18,36,32,34,37,-99,19,-99,-99,11,18,30,41,37,-99,34,-99,21,-99,23,-99,2,29,,,,
11/10/2016,11,-99,25,28,46,35,20,-99,14,-99,-99,9,19,45,41,33,-99,24,-99,33,-99,35,-99,14,29,,,,
11/10/2016,12,-99,38,25,45,38,29,30,15,-99,-99,18,28,42,39,39,-99,18,-99,34,46,36,-99,19,38,,,,
11/10/2016,13,-99,41,26,47,34,54,52,21,-99,-99,20,32,45,42,39,-99,25,-99,39,50,20,-99,30,18,,,,
