FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
05/07/2015,20,-99,8,18,-99,30,11,-99,20,18,18,-99,32,-99,-99,-99,-99,33,21,10,37,13,27,-99,34,-99,-99,29,20,-99,17,27,14,38
05/07/2015,21,-99,8,16,-99,32,18,-99,27,22,14,-99,37,-99,26,-99,-99,36,29,28,42,25,32,-99,36,-99,10,28,25,-99,22,28,16,40
05/07/2015,22,-99,10,16,-99,34,25,-99,35,16,18,-99,34,-99,39,-99,-99,33,17,35,47,29,35,-99,35,-99,16,25,26,-99,23,36,21,33
05/07/2015,23,-99,7,17,-99,38,29,-99,36,27,18,-99,37,-99,41,-99,-99,36,29,37,42,33,24,-99,42,-99,18,33,21,-99,31,41,25,31
05/07/2015,24,-99,11,17,-99,35,30,-99,33,28,17,-99,39,-99,45,-99,-99,42,38,35,49,28,25,-99,44,-99,14,31,32,-99,33,43,19,44
06/07/2015,1,-99,6,15,-99,36,29,-99,34,23,16,-99,41,-99,42,-99,-99,40,32,27,48,15,39,-99,43,-99,12,33,27,-99,30,39,13,46
06/07/2015,2,-99,4,9,-99,34,14,-99,25,23,11,-99,40,-99,40,-99,-99,38,30,23,47,6,38,-99,40,-99,14,27,31,-99,24,38,17,42
06/07/2015,3,-99,3,8,-99,23,7,-99,11,26,14,-99,37,-99,33,-99,-99,36,29,21,46,4,35,-99,35,-99,15,18,39,-99,21,35,17,41
06/07/2015,4,-99,4,13,-99,27,7,-99,8,23,19,-99,32,-99,24,-99,-99,32,30,18,43,5,32,-99,33,-99,12,20,29,-99,21,29,17,39
06/07/2015,5,-99,5,17,-99,28,10,-99,15,27,21,-99,31,-99,27,-99,-99,32,31,23,42,8,29,-99,33,-99,17,29,35,-99,18,26,25,33
06/07/2015,6,-99,9,22,-99,32,17,-99,20,37,19,-99,33,-99,31,-99,-99,33,30,29,40,19,28,-99,35,-99,22,35,31,-99,21,28,32,37
06/07/2015,7,-99,12,27,-99,33,20,-99,23,41,22,-99,30,-99,27,-99,-99,34,37,29,38,23,30,-99,33,-99,21,40,35,-99,21,28,34,37
06/07/2015,8,-99,17,29,-99,38,22,-99,30,31,23,-99,36,-99,33,-99,-99,42,38,28,39,21,31,-99,38,-99,19,34,36,-99,28,32,34,44
06/07/2015,9,-99,13,24,-99,45,25,-99,29,32,28,-99,50,-99,38,-99,-99,48,35,23,48,16,34,-99,46,-99,23,47,39,-99,34,39,31,49
06/07/2015,10,-99,12,21,-99,26,14,-99,21,30,22,-99,42,-99,26,-99,-99,33,27,18,50,19,33,-99,38,-99,20,50,27,-99,25,43,20,41
06/07/2015,11,-99,13,19,-99,27,17,-99,27,24,17,-99,41,-99,38,-99,-99,38,32,23,33,19,31,-99,29,-99,10,53,27,-99,18,25,13,41
06/07/2015,12,-99,22,15,-99,35,22,-99,31,25,15,-99,41,-99,45,-99,-99,38,31,19,17,25,38,-99,32,-99,15,53,31,-99,21,37,14,48
06/07/2015,13,-99,20,14,-99,41,24,-99,37,29,9,-99,41,-99,44,-99,-99,40,33,19,17,21,34,-99,30,-99,19,54,28,-99,26,26,12,54
06/07/2015,14,-99,22,11,-99,32,33,-99,38,31,7,-99,38,-99,34,-99,-99,31,31,17,19,28,19,-99,27,-99,17,-99,17,-99,19,16,8,37
06/07/2015,15,-99,22,19,-99,39,24,-99,24,28,8,-99,36,-99,28,-99,-99,28,33,16,18,23,12,-99,19,-99,-99,45,13,-99,16,14,8,34
06/07/2015,16,-99,13,17,-99,31,24,-99,22,36,9,-99,29,-99,27,-99,-99,22,34,16,16,18,18,-99,16,-99,-99,34,11,-99,9,9,10,23
06/07/2015,17,-99,14,23,-99,39,23,-99,36,34,20,-99,41,-99,33,-99,-99,37,23,21,18,30,30,-99,25,-99,8,50,17,-99,12,22,18,37
06/07/2015,18,-99,15,27,-99,55,27,-99,46,29,27,-99,53,-99,48,-99,-99,58,39,17,43,30,38,-99,51,-99,21,47,43,-99,32,58,34,50
06/07/2015,19,-99,13,23,-99,71,41,-99,58,32,24,-99,52,-99,57,-99,-99,75,32,22,81,41,45,-99,63,-99,37,72,57,-99,41,61,40,54
06/07/2015,20,-99,26,33,-99,87,61,-99,71,40,26,-99,69,-99,81,-99,-99,66,51,31,94,43,61,-99,75,-99,36,77,52,-99,60,89,40,64
06/07/2015,21,-99,24,40,-99,77,44,-99,60,47,29,-99,73,-99,89,-99,-99,70,52,43,75,31,56,-99,77,-99,44,63,27,-99,58,89,27,77
06/07/2015,22,-99,17,31,-99,60,31,-99,49,47,34,-99,58,-99,66,-99,-99,65,45,29,51,23,38,-99,59,-99,41,47,39,-99,58,77,38,66
06/07/2015,23,-99,15,28,-99,52,22,-99,46,36,23,-99,54,-99,56,-99,-99,58,38,22,55,16,43,-99,65,-99,35,42,43,-99,48,62,37,68
06/07/2015,24,-99,13,19,-99,44,31,-99,40,31,25,-99,53,-99,55,-99,-99,54,45,23,54,16,36,-99,57,-99,28,44,35,-99,44,58,35,67
07/07/2015,1,-99,19,12,-99,37,22,-99,36,26,21,31,47,-99,50,-99,-99,50,40,22,57,15,33,-99,51,-99,34,38,29,-99,37,55,30,57
07/07/2015,2,-99,10,10,-99,35,15,-99,32,30,21,23,42,-99,44,-99,-99,44,41,20,44,16,29,-99,45,-99,38,23,38,-99,33,48,23,49
07/07/2015,3,-99,22,10,-99,32,15,-99,25,36,19,20,41,-99,39,-99,-99,40,37,17,42,12,23,-99,41,-99,36,29,33,-99,26,39,25,35
