FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,SAG,TAX,IZT
10/01/2010,1,5,20,14,17,12,17,12,14,-99,15,8,7,19,20
10/01/2010,2,11,5,17,19,10,17,16,37,9,8,8,6,6,26
10/01/2010,3,23,9,33,18,15,20,33,64,-99,7,11,34,10,17
10/01/2010,4,26,14,37,23,16,19,32,56,5,16,10,41,7,17
10/01/2010,5,23,39,31,25,18,22,34,55,7,15,10,35,6,43
10/01/2010,6,31,56,48,28,18,25,35,40,15,16,10,44,16,33
10/01/2010,7,30,62,59,39,16,41,48,66,33,14,12,46,41,39
10/01/2010,8,38,63,67,41,16,41,64,53,28,42,29,59,36,52
10/01/2010,9,33,82,84,32,18,35,61,60,36,47,68,78,33,48
10/01/2010,10,51,81,37,31,31,38,54,60,30,31,58,67,39,42
10/01/2010,11,52,74,55,48,45,49,51,59,22,44,39,55,57,35
10/01/2010,12,71,47,57,51,49,42,58,72,42,42,38,44,43,39
10/01/2010,13,21,45,82,38,44,36,73,59,13,29,21,57,36,50
10/01/2010,14,57,73,55,36,31,30,65,63,22,27,28,41,20,50
10/01/2010,15,43,81,60,34,33,34,68,54,8,35,66,30,26,41
10/01/2010,16,51,67,76,32,32,27,34,41,15,18,75,42,52,38
10/01/2010,17,66,46,82,56,35,31,26,24,-99,34,56,48,20,38
10/01/2010,18,65,44,97,53,73,56,34,25,54,85,46,37,103,67
10/01/2010,19,39,41,68,51,56,47,40,27,56,58,46,40,56,63
10/01/2010,20,44,39,76,50,50,50,32,45,20,49,43,-99,42,51
10/01/2010,21,39,38,61,33,40,45,38,40,19,41,31,-99,37,50
10/01/2010,22,35,33,46,34,31,28,24,35,18,28,26,27,20,33
10/01/2010,23,31,46,47,28,32,32,21,34,23,27,25,21,13,23
10/01/2010,24,20,29,44,25,30,19,9,15,17,27,20,23,21,27
11/01/2010,1,24,21,36,23,37,17,13,22,13,29,22,14,19,23
11/01/2010,2,32,21,34,21,35,12,9,19,17,34,24,11,24,24
11/01/2010,3,23,26,46,30,30,11,15,41,13,35,26,18,33,12
11/01/2010,4,22,33,39,27,29,16,25,42,23,30,26,18,17,47
11/01/2010,5,29,39,49,31,31,25,41,35,24,28,29,25,22,40
11/01/2010,6,26,53,74,27,28,15,49,8,27,22,30,33,12,41
11/01/2010,7,35,78,157,19,27,34,40,17,42,26,38,35,36,36
11/01/2010,8,37,108,121,34,32,38,32,37,41,45,53,50,60,37
11/01/2010,9,52,109,125,47,43,68,47,56,50,53,62,52,68,51
11/01/2010,10,57,-99,149,53,54,73,-99,64,52,63,75,-99,78,62
11/01/2010,11,68,-99,126,67,-99,77,-99,68,55,67,87,-99,92,81
11/01/2010,12,74,-99,-99,-99,70,87,-99,93,48,85,88,-99,88,88
11/01/2010,13,73,150,-99,-99,58,74,-99,84,64,57,80,-99,66,73
11/01/2010,14,58,151,-99,-99,33,29,-99,50,-99,25,64,-99,22,49
11/01/2010,15,45,101,-99,-99,37,19,16,18,-99,32,67,-99,36,39
11/01/2010,16,59,48,-99,62,62,29,5,24,50,43,31,16,48,39
11/01/2010,17,35,55,-99,77,67,46,25,33,69,51,37,28,55,57
11/01/2010,18,-99,66,132,69,78,60,22,30,63,54,40,36,72,62
11/01/2010,19,40,72,172,57,64,50,54,66,78,-99,46,53,99,72
11/01/2010,20,53,99,261,74,82,73,84,104,90,95,81,79,70,59
11/01/2010,21,110,87,344,77,69,75,133,226,81,91,83,112,101,49
11/01/2010,22,96,94,224,83,49,53,99,132,77,85,82,73,76,101
11/01/2010,23,111,85,192,96,38,72,131,100,69,59,83,118,55,98
11/01/2010,24,104,72,147,91,37,54,97,75,82,65,75,121,60,78
12/01/2010,1,74,67,137,67,23,41,76,67,56,50,66,63,56,63
12/01/2010,2,76,62,107,66,22,53,53,54,41,51,46,57,41,78
12/01/2010,3,75,52,164,68,30,51,46,28,49,52,44,51,45,86
12/01/2010,4,67,129,116,60,33,47,44,39,46,39,42,50,36,73
12/01/2010,5,68,91,106,56,32,41,44,63,54,46,37,43,38,83
12/01/2010,6,59,67,98,51,34,53,65,69,49,40,42,72,38,62
12/01/2010,7,45,142,145,47,42,42,58,61,59,52,55,99,61,32
12/01/2010,8,94,194,244,67,55,52,100,105,66,71,93,103,78,65
12/01/2010,9,134,170,307,89,64,92,155,99,102,69,94,140,101,64
12/01/2010,10,157,209,290,145,75,93,137,131,102,79,80,134,88,103
12/01/2010,11,138,116,-99,147,75,91,72,135,103,86,96,114,84,111
12/01/2010,12,105,65,214,114,40,79,76,86,63,58,71,144,53,108
12/01/2010,13,64,72,170,75,32,66,102,40,25,24,68,101,23,78
12/01/2010,14,61,90,151,66,31,54,34,41,28,34,58,59,46,67
12/01/2010,15,71,117,136,45,43,57,34,49,44,41,61,67,65,73
12/01/2010,16,21,82,181,50,49,55,36,55,68,52,90,60,56,55
12/01/2010,17,54,61,145,40,40,57,94,119,84,47,47,66,41,48
12/01/2010,18,82,101,226,51,44,74,81,77,78,46,73,74,58,57
12/01/2010,19,83,72,157,84,71,76,79,76,102,101,49,56,131,71
12/01/2010,20,54,42,109,53,49,48,40,39,76,68,32,-99,63,65
12/01/2010,21,41,58,132,50,45,33,35,27,40,35,32,20,55,49
12/01/2010,22,29,53,112,44,44,34,29,44,23,36,29,24,41,51
12/01/2010,23,23,44,58,36,33,34,31,31,14,33,15,25,51,61
12/01/2010,24,22,47,41,29,26,28,29,29,14,23,17,22,38,51
13/01/2010,1,28,44,30,26,23,8,18,28,18,28,10,20,27,46
13/01/2010,2,11,36,41,16,20,-99,21,11,10,12,13,12,-99,60
13/01/2010,3,7,40,24,34,21,7,31,-99,11,2,17,-99,1,25
13/01/2010,4,9,43,24,11,15,11,23,18,14,7,21,9,8,15
13/01/2010,5,7,62,29,-99,16,12,1,15,23,8,28,18,3,29
13/01/2010,6,-99,36,62,-99,18,23,2,6,24,8,28,18,13,25
