FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,MIN,TLI,VIF,SAG,VAL,SUR,IZT,CHO
07/01/2007,13,0.8,1.3,0.6,1.3,1.2,0.8,1.2,1.0,1.2,0.4,1.8,2.4,1.0,0.7,1.1,1.6,1.6,-99,-99
07/01/2007,14,0.6,1.0,0.6,1.4,1.0,0.6,0.9,1.0,1.0,0.4,1.2,2.3,1.0,0.6,0.8,1.7,1.3,-99,-99
07/01/2007,15,0.7,1.1,0.6,1.6,0.9,0.8,0.8,0.9,1.0,0.4,1.3,2.3,1.0,0.4,0.8,1.7,1.1,-99,-99
07/01/2007,16,0.6,1.0,0.7,1.3,1.0,0.4,0.8,0.9,0.6,0.3,1.5,2.3,0.7,0.3,0.8,1.3,1.1,-99,-99
07/01/2007,17,0.6,0.9,0.7,0.9,1.3,0.4,1.0,1.0,0.3,0.3,1.7,2.2,0.4,0.2,0.8,1.1,1.2,-99,-99
07/01/2007,18,0.5,0.7,0.7,0.9,1.2,0.9,1.0,1.2,0.5,0.2,2.2,2.2,0.5,0.2,0.9,1.1,1.2,-99,-99
07/01/2007,19,0.6,0.8,0.5,1.0,-99,0.6,1.0,1.2,0.7,0.3,2.0,2.2,0.6,0.2,1.0,0.9,1.3,-99,-99
07/01/2007,20,0.5,0.7,0.6,0.7,-99,0.4,0.8,1.0,0.5,0.2,1.9,2.1,0.4,0.2,0.9,0.8,1.1,-99,-99
07/01/2007,21,0.5,0.6,0.5,0.6,-99,0.4,0.6,0.7,0.6,0.2,1.6,2.0,0.4,0.2,0.8,1.1,1.2,-99,-99
07/01/2007,22,-99,0.4,0.4,0.5,0.9,0.3,0.4,1.0,0.4,0.2,1.2,1.9,0.3,0.1,0.8,0.8,0.9,-99,-99
