FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
24/08/2014,23,1,0,1,0,1,0,2,2,-99,1,0,-99,1,-99,1,1,-99,1,0,1,1,3,1,1,1,1,1,1
24/08/2014,24,1,0,1,0,1,0,2,1,-99,0,1,-99,2,-99,1,1,-99,1,1,0,1,2,1,0,1,1,1,1
25/08/2014,1,1,0,1,0,1,0,1,2,-99,1,0,-99,2,-99,1,1,-99,1,1,0,1,2,1,0,1,1,1,1
25/08/2014,2,1,7,1,0,0,0,1,2,-99,1,0,-99,2,-99,1,1,-99,1,0,0,1,2,1,0,1,1,1,1
25/08/2014,3,1,11,1,0,1,0,5,5,-99,2,1,-99,2,-99,1,1,-99,1,0,0,1,3,1,0,1,2,7,1
25/08/2014,4,1,10,2,0,1,0,10,5,-99,1,7,-99,2,-99,1,1,-99,1,0,1,1,4,21,1,1,1,30,2
25/08/2014,5,1,4,5,1,1,1,5,4,-99,1,29,-99,2,-99,1,1,-99,1,1,1,1,8,52,1,1,1,17,1
25/08/2014,6,1,3,5,1,1,1,2,4,-99,9,106,-99,8,-99,2,2,-99,1,3,1,1,12,40,1,1,1,14,2
25/08/2014,7,2,3,4,2,2,2,2,4,-99,9,119,-99,16,-99,5,2,-99,2,13,2,1,11,46,1,1,2,11,14
25/08/2014,8,2,5,4,2,2,3,2,4,-99,12,74,-99,14,-99,17,2,-99,3,25,7,2,11,19,2,4,7,18,20
25/08/2014,9,3,32,23,1,8,4,6,11,-99,11,44,-99,15,-99,13,5,-99,5,21,12,4,22,37,6,11,16,29,22
25/08/2014,10,8,39,18,3,8,3,47,15,-99,10,37,-99,11,-99,8,6,-99,5,12,8,4,18,42,5,9,10,48,16
25/08/2014,11,11,30,11,2,6,-99,51,17,-99,7,39,-99,8,-99,8,5,-99,5,8,-99,3,24,30,4,7,6,44,11
25/08/2014,12,13,20,9,3,6,-99,40,18,-99,6,31,-99,7,-99,5,5,-99,4,6,-99,3,26,28,4,6,5,31,15
25/08/2014,13,9,16,12,4,6,-99,26,15,-99,4,16,-99,5,-99,8,6,-99,6,11,-99,3,19,21,4,4,3,17,18
25/08/2014,14,5,12,12,6,4,7,13,13,-99,7,7,-99,9,-99,9,6,-99,9,8,-99,4,12,7,4,5,7,6,8
25/08/2014,15,1,5,6,6,8,8,5,7,-99,7,2,-99,8,-99,5,9,-99,10,4,-99,7,4,2,5,8,6,2,4
25/08/2014,16,1,2,2,3,6,5,10,3,-99,3,-99,-99,4,-99,2,6,-99,5,2,-99,3,3,2,6,4,3,2,2
25/08/2014,17,1,22,3,2,4,2,4,8,-99,2,3,-99,2,-99,1,4,-99,3,1,-99,3,7,5,3,2,2,2,2
