FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
07/01/2008,5,1.1,1.1,-99,-99,1.8,1.1,0.1,0.3,1.2,2.5,0.2,1.6,0.9,1.8,1.9,0.2,0.2,1.7
07/01/2008,6,1.5,1.6,-99,-99,2.2,1.2,0.1,1.0,1.8,3.5,0.5,2.3,1.2,2.4,2.9,0.6,0.7,2.0
07/01/2008,7,2.4,3.1,-99,2.9,2.5,2.5,0.9,2.6,2.5,3.6,1.1,3.2,1.9,2.6,4.5,2.0,3.2,2.3
07/01/2008,8,5.9,6.9,-99,4.0,4.9,4.0,2.6,5.9,6.5,6.2,2.8,5.8,2.9,4.1,7.3,4.5,5.8,4.0
07/01/2008,9,6.5,6.8,-99,4.6,6.8,5.4,2.6,5.3,9.8,4.4,2.3,5.2,2.0,3.4,5.5,2.3,3.9,4.4
07/01/2008,10,5.2,4.3,-99,3.1,4.0,3.5,2.1,2.2,6.4,2.9,2.3,2.9,1.6,2.9,5.3,1.1,4.2,2.2
07/01/2008,11,-99,4.5,-99,3.0,1.2,2.2,1.3,2.4,3.9,1.9,2.9,2.7,1.1,2.6,3.8,0.7,2.5,1.5
07/01/2008,12,-99,2.1,-99,2.2,0.6,1.0,0.7,1.3,2.4,1.1,2.5,1.8,1.0,1.2,1.4,-99,0.9,0.8
07/01/2008,13,-99,1.2,-99,0.7,0.3,0.9,0.4,0.9,1.4,0.7,1.3,0.9,0.7,0.7,1.1,-99,0.4,0.8
07/01/2008,14,-99,1.1,-99,0.8,0.1,0.7,0.3,0.7,1.1,0.6,1.2,0.8,0.7,0.6,1.1,-99,0.3,0.9
07/01/2008,15,1.1,1.3,-99,0.9,0.3,0.6,0.2,0.8,0.8,0.7,0.7,1.0,0.6,0.7,1.5,-99,0.1,0.8
07/01/2008,16,1.1,1.2,-99,1.0,-99,0.3,0.0,0.6,0.7,0.6,0.2,1.0,0.7,0.9,1.6,0.3,0.1,0.8
07/01/2008,17,1.0,1.1,-99,0.9,-99,0.4,0.0,0.6,0.8,0.6,0.1,1.0,0.7,0.9,2.3,0.3,0.1,0.8
