FECHA,HORA,CAM,COY,MER,NEZ,PED,PER,SAG,SJA,TLA,UIZ,XAL,,,,,,,,,,,,,
12/01/2011,5,14,5,2,-99,-99,2,7,-99,-99,7,-99,,,,,,,,,,,,,
12/01/2011,6,4,4,14,-99,-99,6,6,6,3,16,-99,,,,,,,,,,,,,
12/01/2011,7,9,5,30,-99,-99,37,5,6,3,17,-99,,,,,,,,,,,,,
12/01/2011,8,11,6,14,-99,-99,21,11,5,6,17,-99,,,,,,,,,,,,,
12/01/2011,9,17,12,15,-99,-99,6,2,4,14,13,-99,,,,,,,,,,,,,
12/01/2011,10,6,12,19,-99,-99,10,14,7,14,13,-99,,,,,,,,,,,,,
12/01/2011,11,8,-99,16,-99,-99,7,7,4,17,16,-99,,,,,,,,,,,,,
12/01/2011,12,19,-99,21,-99,-99,15,8,14,11,7,-99,,,,,,,,,,,,,
12/01/2011,13,2,22,27,-99,-99,7,11,13,18,13,-99,,,,,,,,,,,,,
12/01/2011,14,14,26,22,-99,-99,16,12,7,18,7,-99,,,,,,,,,,,,,
12/01/2011,15,16,26,25,-99,-99,18,10,1,14,13,-99,,,,,,,,,,,,,
12/01/2011,16,18,32,27,-99,-99,16,11,10,-99,13,-99,,,,,,,,,,,,,
12/01/2011,17,16,34,21,-99,-99,15,12,17,-99,21,-99,,,,,,,,,,,,,
12/01/2011,18,20,30,18,-99,-99,25,14,22,15,19,-99,,,,,,,,,,,,,
12/01/2011,19,12,31,16,-99,-99,38,21,18,21,22,-99,,,,,,,,,,,,,
12/01/2011,20,18,23,16,-99,-99,32,6,18,17,20,-99,,,,,,,,,,,,,
12/01/2011,21,19,31,14,-99,-99,28,9,15,16,23,-99,,,,,,,,,,,,,
12/01/2011,22,11,21,12,-99,-99,16,9,3,7,10,-99,,,,,,,,,,,,,
12/01/2011,23,6,14,10,-99,-99,4,8,-99,8,17,-99,,,,,,,,,,,,,
12/01/2011,24,4,10,9,-99,-99,7,6,2,11,7,-99,,,,,,,,,,,,,
