FECHA,HORA,CAM,COY,CCA,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
06/11/2014,7,25,27,24,-99,-99,14,18,24,22,25,39,9,34,-99,,,,,,,,,,,,,,
06/11/2014,8,24,34,22,-99,-99,32,22,26,22,22,32,23,45,-99,,,,,,,,,,,,,,
06/11/2014,9,39,35,22,-99,-99,34,43,29,27,16,46,15,43,-99,,,,,,,,,,,,,,
06/11/2014,10,-99,35,26,-99,-99,37,27,15,14,29,49,23,46,-99,,,,,,,,,,,,,,
06/11/2014,11,-99,36,17,-99,-99,30,15,15,47,26,35,15,22,-99,,,,,,,,,,,,,,
06/11/2014,12,-99,21,15,-99,-99,21,24,17,25,7,28,19,50,-99,,,,,,,,,,,,,,
06/11/2014,13,-99,27,13,-99,-99,14,21,23,-99,4,-99,17,23,-99,,,,,,,,,,,,,,
06/11/2014,14,22,26,14,-99,-99,-99,28,19,-99,4,-99,11,21,-99,,,,,,,,,,,,,,
06/11/2014,15,28,25,15,-99,-99,-99,22,25,25,12,35,8,20,-99,,,,,,,,,,,,,,
06/11/2014,16,25,15,16,-99,-99,-99,21,20,49,11,9,16,25,-99,,,,,,,,,,,,,,
06/11/2014,17,22,27,18,-99,-99,20,25,14,47,14,29,11,16,-99,,,,,,,,,,,,,,
06/11/2014,18,23,22,19,-99,-99,28,29,27,30,24,28,31,28,-99,,,,,,,,,,,,,,
06/11/2014,19,17,34,23,-99,-99,25,28,47,29,27,12,32,29,-99,,,,,,,,,,,,,,
06/11/2014,20,31,26,28,-99,-99,25,30,24,28,21,19,36,27,-99,,,,,,,,,,,,,,
06/11/2014,21,14,21,25,-99,-99,21,25,22,27,24,21,37,24,-99,,,,,,,,,,,,,,
06/11/2014,22,24,22,22,-99,-99,22,19,23,30,20,23,18,15,-99,,,,,,,,,,,,,,
06/11/2014,23,16,24,22,-99,-99,29,-99,17,27,22,23,25,14,-99,,,,,,,,,,,,,,
06/11/2014,24,30,25,24,-99,-99,22,-99,21,23,19,28,20,24,-99,,,,,,,,,,,,,,
07/11/2014,1,30,23,23,-99,-99,26,-99,23,23,12,31,21,32,-99,,,,,,,,,,,,,,
07/11/2014,2,36,22,23,-99,-99,21,-99,21,20,22,36,26,32,-99,,,,,,,,,,,,,,
07/11/2014,3,27,24,22,-99,-99,38,-99,25,16,25,36,26,92,-99,,,,,,,,,,,,,,
07/11/2014,4,39,27,26,-99,-99,22,20,26,16,23,40,29,52,-99,,,,,,,,,,,,,,
07/11/2014,5,43,34,25,-99,-99,24,19,32,19,24,21,29,32,-99,,,,,,,,,,,,,,
07/11/2014,6,44,42,25,-99,-99,29,18,37,14,30,34,23,42,-99,,,,,,,,,,,,,,
07/11/2014,7,34,36,22,-99,-99,33,21,26,21,29,34,30,27,-99,,,,,,,,,,,,,,
07/11/2014,8,48,43,32,-99,-99,27,22,42,22,28,47,28,30,-99,,,,,,,,,,,,,,
07/11/2014,9,57,47,24,-99,-99,28,34,52,31,25,62,25,42,-99,,,,,,,,,,,,,,
07/11/2014,10,44,54,31,-99,-99,31,51,54,19,46,64,33,46,-99,,,,,,,,,,,,,,
07/11/2014,11,57,66,32,-99,-99,44,48,56,47,57,77,37,76,-99,,,,,,,,,,,,,,
07/11/2014,12,71,86,43,-99,-99,47,65,49,30,57,66,45,52,-99,,,,,,,,,,,,,,
07/11/2014,13,49,77,46,-99,-99,31,63,28,68,36,49,39,53,-99,,,,,,,,,,,,,,
07/11/2014,14,43,80,47,-99,-99,24,62,33,68,28,35,37,52,-99,,,,,,,,,,,,,,
07/11/2014,15,49,60,37,-99,-99,24,62,30,19,11,31,24,38,-99,,,,,,,,,,,,,,
07/11/2014,16,54,56,31,-99,-99,21,60,31,40,24,31,24,39,-99,,,,,,,,,,,,,,
07/11/2014,17,51,57,31,-99,-99,30,53,22,64,25,42,23,34,-99,,,,,,,,,,,,,,
07/11/2014,18,42,65,32,-99,-99,34,49,32,68,26,24,34,35,-99,,,,,,,,,,,,,,
07/11/2014,19,52,50,29,-99,-99,22,44,53,59,35,41,35,51,-99,,,,,,,,,,,,,,
07/11/2014,20,53,46,25,-99,-99,20,46,41,50,26,40,34,35,-99,,,,,,,,,,,,,,
07/11/2014,21,35,37,29,-99,-99,20,47,37,28,25,40,31,29,-99,,,,,,,,,,,,,,
07/11/2014,22,37,38,27,-99,-99,21,45,32,27,25,27,27,36,-99,,,,,,,,,,,,,,
07/11/2014,23,44,40,27,-99,-99,21,47,30,23,28,31,26,43,-99,,,,,,,,,,,,,,
07/11/2014,24,63,49,32,-99,-99,22,48,48,20,24,39,31,43,-99,,,,,,,,,,,,,,
08/11/2014,1,38,48,33,-99,-99,23,36,38,17,30,43,38,39,-99,,,,,,,,,,,,,,
08/11/2014,2,28,42,36,-99,-99,26,30,43,21,40,37,39,31,-99,,,,,,,,,,,,,,
08/11/2014,3,32,43,32,-99,-99,24,30,33,23,35,30,30,31,-99,,,,,,,,,,,,,,
08/11/2014,4,27,44,31,-99,-99,20,26,39,24,35,32,29,39,-99,,,,,,,,,,,,,,
08/11/2014,5,32,37,24,-99,-99,21,25,46,16,33,42,28,33,-99,,,,,,,,,,,,,,
08/11/2014,6,37,37,28,-99,-99,24,25,41,18,33,29,35,32,-99,,,,,,,,,,,,,,
08/11/2014,7,28,34,23,-99,-99,42,30,34,15,43,24,39,32,-99,,,,,,,,,,,,,,
08/11/2014,8,36,40,24,-99,-99,36,21,50,20,43,41,38,31,-99,,,,,,,,,,,,,,
08/11/2014,9,41,39,22,-99,-99,34,29,49,18,25,51,32,45,-99,,,,,,,,,,,,,,
08/11/2014,10,46,42,20,-99,-99,32,47,19,45,30,28,25,45,-99,,,,,,,,,,,,,,
08/11/2014,11,30,41,23,-99,-99,22,54,19,45,25,15,26,59,-99,,,,,,,,,,,,,,
08/11/2014,12,19,37,23,-99,-99,-99,45,18,59,-99,13,13,60,-99,,,,,,,,,,,,,,
08/11/2014,13,30,27,18,-99,-99,32,29,10,21,11,28,8,59,-99,,,,,,,,,,,,,,
08/11/2014,14,27,26,18,-99,-99,26,26,11,32,9,19,13,60,-99,,,,,,,,,,,,,,
08/11/2014,15,33,31,17,-99,-99,12,20,5,-99,7,18,20,39,-99,,,,,,,,,,,,,,
08/11/2014,16,37,15,8,-99,-99,14,6,27,13,12,25,9,40,-99,,,,,,,,,,,,,,
08/11/2014,17,40,20,11,-99,-99,18,15,33,13,7,26,6,23,-99,,,,,,,,,,,,,,
08/11/2014,18,21,20,15,-99,-99,24,5,20,17,21,21,17,11,-99,,,,,,,,,,,,,,
08/11/2014,19,25,16,18,-99,-99,12,17,8,18,18,12,18,13,-99,,,,,,,,,,,,,,
08/11/2014,20,11,16,13,-99,-99,13,17,10,19,13,4,23,6,-99,,,,,,,,,,,,,,
08/11/2014,21,8,8,10,-99,-99,9,11,12,10,14,5,18,4,-99,,,,,,,,,,,,,,
08/11/2014,22,8,13,7,-99,-99,7,10,6,8,13,7,11,2,-99,,,,,,,,,,,,,,
08/11/2014,23,6,8,8,-99,-99,6,2,8,9,4,9,6,11,-99,,,,,,,,,,,,,,
08/11/2014,24,12,10,7,-99,-99,3,8,-99,11,5,5,7,5,-99,,,,,,,,,,,,,,
09/11/2014,1,-99,7,4,-99,-99,14,13,-99,11,9,11,13,10,-99,,,,,,,,,,,,,,
09/11/2014,2,-99,10,9,-99,-99,6,9,-99,15,2,13,8,5,-99,,,,,,,,,,,,,,
09/11/2014,3,-99,5,5,-99,-99,2,9,-99,12,4,4,4,2,-99,,,,,,,,,,,,,,
09/11/2014,4,9,6,5,-99,-99,4,9,-99,4,7,5,4,10,-99,,,,,,,,,,,,,,
09/11/2014,5,3,5,7,-99,-99,3,5,-99,2,3,16,2,-99,-99,,,,,,,,,,,,,,
09/11/2014,6,6,9,7,-99,-99,4,7,-99,8,7,6,6,-99,-99,,,,,,,,,,,,,,
09/11/2014,7,6,10,8,-99,-99,4,10,-99,9,6,6,12,-99,-99,,,,,,,,,,,,,,
09/11/2014,8,6,7,11,-99,-99,6,8,-99,16,6,16,7,-99,-99,,,,,,,,,,,,,,
09/11/2014,9,8,12,7,-99,-99,1,10,-99,15,5,5,-99,-99,-99,,,,,,,,,,,,,,
09/11/2014,10,5,16,11,-99,-99,4,19,-99,19,4,3,4,6,-99,,,,,,,,,,,,,,
09/11/2014,11,8,16,12,-99,-99,2,20,-99,20,-99,9,1,11,-99,,,,,,,,,,,,,,
09/11/2014,12,16,29,17,-99,-99,5,22,-99,21,-99,10,7,19,-99,,,,,,,,,,,,,,
09/11/2014,13,18,27,19,-99,-99,11,24,-99,23,-99,25,15,26,-99,,,,,,,,,,,,,,
09/11/2014,14,41,29,17,-99,-99,19,37,-99,40,10,16,29,17,-99,,,,,,,,,,,,,,
09/11/2014,15,42,34,19,-99,-99,26,26,-99,18,14,21,20,2,-99,,,,,,,,,,,,,,
09/11/2014,16,21,40,18,-99,-99,27,29,-99,20,15,23,18,9,-99,,,,,,,,,,,,,,
09/11/2014,17,38,36,24,-99,-99,25,26,-99,31,26,21,28,5,-99,,,,,,,,,,,,,,
09/11/2014,18,20,27,25,-99,-99,16,44,-99,24,21,9,29,18,-99,,,,,,,,,,,,,,
09/11/2014,19,15,21,18,-99,-99,8,17,-99,17,17,14,25,16,-99,,,,,,,,,,,,,,
09/11/2014,20,20,16,15,-99,-99,10,18,-99,27,14,21,20,16,-99,,,,,,,,,,,,,,
09/11/2014,21,18,19,21,-99,-99,7,22,-99,31,16,16,18,5,-99,,,,,,,,,,,,,,
09/11/2014,22,13,17,18,-99,-99,6,20,-99,20,11,18,19,14,-99,,,,,,,,,,,,,,
09/11/2014,23,21,17,17,-99,-99,10,24,-99,32,11,18,18,1,-99,,,,,,,,,,,,,,
09/11/2014,24,17,17,16,-99,-99,7,29,-99,34,13,7,27,12,-99,,,,,,,,,,,,,,
10/11/2014,1,22,20,20,-99,-99,9,28,-99,32,10,18,39,22,-99,,,,,,,,,,,,,,
10/11/2014,2,20,28,23,-99,-99,12,33,-99,25,15,13,24,5,-99,,,,,,,,,,,,,,
10/11/2014,3,15,26,25,-99,-99,16,29,17,31,10,17,21,13,-99,,,,,,,,,,,,,,
10/11/2014,4,18,20,23,-99,-99,17,27,23,31,9,22,22,22,-99,,,,,,,,,,,,,,
10/11/2014,5,20,23,23,-99,-99,16,27,48,20,12,30,25,27,-99,,,,,,,,,,,,,,
10/11/2014,6,30,27,23,-99,-99,20,26,22,20,20,23,31,21,-99,,,,,,,,,,,,,,
