FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
20/08/2008,9,39,48,27,50,16,19,23,35,24
20/08/2008,10,44,59,28,40,27,12,17,32,14
20/08/2008,11,43,-99,27,8,31,15,-99,41,9
20/08/2008,12,10,-99,10,10,-99,3,3,22,-99
20/08/2008,13,2,-99,3,-99,-99,3,3,10,2
20/08/2008,14,8,33,-99,-99,13,5,4,-99,4
20/08/2008,15,7,24,-99,-99,13,9,8,1,3
20/08/2008,16,8,18,-99,-99,2,13,9,4,9
20/08/2008,17,6,17,3,-99,3,10,8,15,14
20/08/2008,18,6,20,6,-99,5,17,8,34,13
20/08/2008,19,9,21,7,-99,10,22,17,24,16
20/08/2008,20,10,18,9,-99,12,10,15,13,20
20/08/2008,21,11,22,13,-99,9,10,14,3,17
20/08/2008,22,17,24,14,-99,12,11,15,16,17
20/08/2008,23,28,20,20,8,10,17,16,26,15
20/08/2008,24,24,17,18,9,20,19,13,10,24
21/08/2008,1,16,19,15,9,26,24,22,9,28
21/08/2008,2,16,15,17,11,12,25,16,10,33
21/08/2008,3,25,14,20,-99,10,21,17,32,33
21/08/2008,4,19,18,19,-99,20,31,16,28,45
21/08/2008,5,16,20,18,-99,19,39,13,29,47
21/08/2008,6,34,28,15,17,55,48,18,42,33
21/08/2008,7,44,34,17,22,54,39,24,39,19
21/08/2008,8,42,27,20,19,14,20,17,47,31
21/08/2008,9,41,42,25,22,20,20,13,28,25
21/08/2008,10,30,59,20,-99,12,15,2,19,12
21/08/2008,11,27,54,14,-99,13,7,-99,19,2
21/08/2008,12,26,42,10,-99,4,1,-99,-99,-99
21/08/2008,13,9,22,7,-99,3,5,1,4,6
21/08/2008,14,7,18,4,-99,-99,-99,6,3,4
21/08/2008,15,10,12,-99,-99,21,14,7,-99,2
21/08/2008,16,7,12,3,-99,17,9,11,6,12
21/08/2008,17,6,18,1,14,10,19,10,4,15
21/08/2008,18,5,12,2,6,-99,16,10,6,14
21/08/2008,19,3,12,3,10,22,13,-99,8,19
21/08/2008,20,4,19,4,12,11,15,-99,13,17
21/08/2008,21,5,16,3,7,6,14,-99,20,19
21/08/2008,22,7,18,3,13,3,11,20,19,22
21/08/2008,23,6,19,9,11,17,10,16,18,11
21/08/2008,24,5,20,8,3,-99,10,11,10,7
22/08/2008,1,1,10,2,11,-99,7,9,-99,8
22/08/2008,2,-99,-99,-99,4,11,5,10,-99,4
22/08/2008,3,-99,-99,-99,4,9,16,3,12,3
22/08/2008,4,2,2,3,2,1,-99,9,18,3
22/08/2008,5,4,7,1,6,-99,7,5,16,5
22/08/2008,6,6,10,3,10,1,8,11,11,7
22/08/2008,7,12,22,5,12,28,11,17,12,9
22/08/2008,8,16,18,8,12,14,8,22,1,17
22/08/2008,9,20,20,9,7,11,10,23,15,3
22/08/2008,10,17,-99,15,8,-99,5,9,27,2
22/08/2008,11,19,-99,19,12,13,3,-99,4,5
22/08/2008,12,19,-99,10,6,13,6,5,27,5
22/08/2008,13,-99,21,3,1,-99,12,-99,16,7
22/08/2008,14,-99,7,-99,3,2,7,1,-99,8
22/08/2008,15,-99,3,-99,1,-99,11,4,4,11
22/08/2008,16,3,-99,1,1,27,11,8,8,13
22/08/2008,17,2,-99,-99,3,-99,10,4,15,12
22/08/2008,18,5,-99,1,5,6,10,4,27,8
22/08/2008,19,4,-99,2,9,11,8,14,6,13
22/08/2008,20,3,-99,1,11,18,12,13,-99,11
22/08/2008,21,5,10,2,7,3,9,14,6,12
22/08/2008,22,6,10,4,6,10,7,13,12,4
22/08/2008,23,7,11,6,7,-99,5,10,19,6
22/08/2008,24,4,9,5,5,-99,11,8,-99,8
23/08/2008,1,-99,9,-99,2,-99,7,10,11,4
23/08/2008,2,-99,8,-99,3,-99,4,10,6,6
23/08/2008,3,-99,7,-99,5,16,7,6,29,7
23/08/2008,4,4,8,-99,3,5,5,5,13,5
23/08/2008,5,4,9,1,3,13,6,7,20,14
23/08/2008,6,8,9,3,11,25,11,7,17,16
23/08/2008,7,11,18,5,9,10,13,11,6,28
23/08/2008,8,12,21,7,1,-99,2,8,33,20
23/08/2008,9,-99,21,7,-99,-99,5,14,13,1
23/08/2008,10,-99,30,12,10,-99,18,6,25,-99
23/08/2008,11,35,43,17,10,-99,28,10,-99,5
23/08/2008,12,25,30,11,9,25,9,6,45,1
23/08/2008,13,25,37,15,12,29,6,10,32,4
23/08/2008,14,23,36,13,1,9,5,6,21,2
23/08/2008,15,16,24,-99,10,9,4,7,-99,2
23/08/2008,16,10,17,-99,11,1,5,6,16,5
23/08/2008,17,8,17,-99,4,9,25,9,12,31
23/08/2008,18,12,18,-99,25,29,23,21,27,15
23/08/2008,19,8,15,11,15,-99,13,12,9,4
23/08/2008,20,13,12,11,17,12,6,15,7,13
23/08/2008,21,16,11,9,15,13,17,17,24,19
23/08/2008,22,15,14,11,11,10,15,16,-99,19
23/08/2008,23,16,18,13,16,14,11,7,18,8
23/08/2008,24,18,16,10,11,18,10,12,22,15
24/08/2008,1,18,13,6,4,18,11,19,20,12
24/08/2008,2,17,15,-99,14,11,18,11,20,19
24/08/2008,3,13,19,-99,12,20,17,14,26,23
24/08/2008,4,15,27,-99,14,14,15,21,23,32
24/08/2008,5,19,25,-99,18,-99,31,10,10,36
24/08/2008,6,22,13,6,16,13,29,13,30,40
24/08/2008,7,24,17,8,17,28,32,20,15,-99
24/08/2008,8,26,18,11,13,2,28,23,-99,-99
24/08/2008,9,30,21,15,10,29,17,21,-99,-99
24/08/2008,10,29,26,22,14,11,23,31,13,20
24/08/2008,11,35,38,23,16,23,19,14,54,11
24/08/2008,12,46,46,27,20,54,24,15,52,10
24/08/2008,13,49,47,39,32,36,16,16,49,10
24/08/2008,14,45,36,47,24,13,14,5,43,26
24/08/2008,15,27,27,41,10,28,11,17,10,27
24/08/2008,16,18,18,23,5,-99,26,1,18,32
24/08/2008,17,20,21,22,16,16,33,11,7,25
24/08/2008,18,29,29,23,22,58,29,28,38,22
24/08/2008,19,36,17,29,42,41,32,39,29,19
24/08/2008,20,-99,16,23,33,9,10,29,36,11
24/08/2008,21,-99,17,19,24,11,21,18,25,17
24/08/2008,22,-99,17,15,14,36,28,19,33,22
24/08/2008,23,-99,9,15,14,28,12,17,-99,34
24/08/2008,24,-99,5,11,16,3,14,17,4,20
25/08/2008,1,-99,-99,8,19,2,7,24,21,25
25/08/2008,2,-99,-99,-99,18,10,15,16,17,23
25/08/2008,3,-99,-99,-99,20,30,21,13,3,21
25/08/2008,4,-99,9,-99,20,21,23,22,15,23
25/08/2008,5,-99,9,-99,18,23,21,15,18,22
25/08/2008,6,-99,14,-99,13,7,24,12,7,30
25/08/2008,7,-99,18,13,12,18,19,12,18,29
25/08/2008,8,-99,24,18,13,34,17,20,24,29
25/08/2008,9,-99,31,24,-99,14,14,15,13,21
25/08/2008,10,-99,42,34,31,16,14,10,28,10
25/08/2008,11,-99,28,36,45,11,23,18,31,9
25/08/2008,12,51,19,38,30,19,30,13,42,5
25/08/2008,13,47,22,-99,29,25,20,22,43,11
25/08/2008,14,43,27,-99,30,29,15,20,41,6
25/08/2008,15,42,23,51,21,23,13,18,16,9
25/08/2008,16,37,20,50,31,23,14,19,7,8
25/08/2008,17,27,17,42,25,-99,13,30,16,19
25/08/2008,18,22,18,28,23,43,37,22,31,32
25/08/2008,19,25,12,21,28,23,-99,34,43,34
25/08/2008,20,26,19,14,30,33,-99,29,-99,24
25/08/2008,21,13,11,17,28,-99,-99,26,10,22
25/08/2008,22,18,9,-99,19,-99,-99,18,20,25
25/08/2008,23,15,7,15,15,-99,-99,23,27,17
25/08/2008,24,10,4,8,6,-99,11,21,14,-99
26/08/2008,1,6,8,9,16,-99,10,21,13,-99
26/08/2008,2,11,15,17,14,11,23,29,19,-99
26/08/2008,3,12,16,19,21,17,34,30,12,-99
26/08/2008,4,20,20,19,22,13,28,25,13,-99
26/08/2008,5,24,17,-99,21,11,28,21,34,-99
26/08/2008,6,26,17,-99,22,31,35,20,33,-99
26/08/2008,7,37,23,-99,26,30,33,15,29,-99
26/08/2008,8,41,28,20,-99,31,33,19,27,-99
26/08/2008,9,45,38,27,34,37,29,30,24,-99
26/08/2008,10,53,45,44,47,22,-99,12,-99,-99
26/08/2008,11,48,52,68,38,24,-99,5,-99,-99
26/08/2008,12,36,50,69,29,14,-99,-99,-99,-99
26/08/2008,13,-99,45,44,11,-99,-99,-99,91,-99
26/08/2008,14,-99,40,29,19,-99,-99,-99,27,-99
26/08/2008,15,-99,25,24,31,86,-99,8,34,-99
26/08/2008,16,39,23,30,29,23,-99,26,31,-99
26/08/2008,17,37,25,19,28,28,-99,36,13,-99
26/08/2008,18,39,26,17,27,36,-99,22,52,-99
26/08/2008,19,42,24,27,36,25,31,24,41,-99
26/08/2008,20,40,27,34,33,31,27,23,43,-99
26/08/2008,21,31,33,36,22,-99,24,25,13,-99
26/08/2008,22,33,33,32,22,-99,25,24,35,-99
26/08/2008,23,37,30,25,25,46,32,21,22,-99
26/08/2008,24,30,31,26,32,69,32,22,37,-99
27/08/2008,1,30,29,22,36,45,42,19,40,-99
27/08/2008,2,28,27,17,25,7,34,28,42,-99
27/08/2008,3,27,25,13,23,22,39,21,28,-99
27/08/2008,4,25,19,12,21,11,38,26,1,18
27/08/2008,5,21,21,15,21,25,24,22,15,20
27/08/2008,6,23,25,15,23,38,25,24,6,22
27/08/2008,7,32,35,21,26,50,32,27,44,22
27/08/2008,8,42,46,23,29,34,46,30,29,21
27/08/2008,9,47,69,28,32,55,51,43,-99,19
27/08/2008,10,62,108,35,45,57,52,28,-99,22
27/08/2008,11,80,95,42,52,62,60,29,-99,20
27/08/2008,12,60,65,37,42,30,50,51,-99,19
27/08/2008,13,52,59,32,34,24,10,27,-99,16
27/08/2008,14,39,40,43,25,33,-99,9,-99,7
27/08/2008,15,35,25,18,-99,21,-99,-99,-99,9
27/08/2008,16,12,26,8,-99,-99,-99,-99,-99,22
27/08/2008,17,10,19,9,7,8,11,13,-99,6
27/08/2008,18,18,15,11,24,16,6,23,-99,9
27/08/2008,19,19,10,13,20,9,21,16,-99,20
27/08/2008,20,17,11,13,14,17,12,16,38,20
27/08/2008,21,16,19,12,17,12,-99,21,38,17
27/08/2008,22,18,27,13,19,3,-99,23,29,18
27/08/2008,23,23,16,-99,16,15,-99,29,18,13
27/08/2008,24,24,11,-99,23,17,16,20,20,12
28/08/2008,1,17,-99,-99,19,20,14,24,11,16
28/08/2008,2,17,-99,11,23,18,22,21,17,17
28/08/2008,3,19,-99,12,19,28,23,18,3,22
28/08/2008,4,17,12,11,36,31,26,21,19,13
28/08/2008,5,22,14,12,22,35,27,27,28,17
28/08/2008,6,25,16,18,18,30,30,29,27,24
28/08/2008,7,28,22,22,31,47,33,33,34,31
28/08/2008,8,35,26,24,33,16,34,30,29,36
28/08/2008,9,39,38,23,37,46,34,30,28,39
28/08/2008,10,42,47,29,35,31,31,27,49,16
28/08/2008,11,42,41,34,34,43,25,23,27,23
28/08/2008,12,39,41,35,29,28,26,25,27,16
28/08/2008,13,35,48,40,23,9,14,15,47,18
28/08/2008,14,26,34,38,4,18,18,2,2,13
28/08/2008,15,17,23,24,18,25,-99,25,20,-99
28/08/2008,16,7,10,7,7,-99,-99,-99,21,4
28/08/2008,17,13,12,7,1,-99,4,4,-99,5
28/08/2008,18,17,17,8,7,3,10,10,-99,10
28/08/2008,19,11,11,8,26,10,18,15,6,8
28/08/2008,20,8,11,9,6,26,7,20,-99,11
28/08/2008,21,12,14,11,11,10,10,23,15,6
28/08/2008,22,7,12,8,4,-99,7,19,5,4
28/08/2008,23,5,8,2,6,3,5,9,15,5
28/08/2008,24,7,6,4,4,14,5,11,31,3
29/08/2008,1,9,4,4,6,7,7,7,7,11
29/08/2008,2,9,1,3,12,9,-99,9,15,5
29/08/2008,3,7,2,3,11,7,-99,12,-99,4
29/08/2008,4,7,5,2,9,7,-99,18,17,5
29/08/2008,5,11,17,2,18,25,7,7,2,7
29/08/2008,6,16,23,5,16,22,14,8,18,9
29/08/2008,7,20,25,8,18,28,16,13,14,15
29/08/2008,8,23,29,13,14,35,14,12,29,15
29/08/2008,9,32,38,20,4,21,14,16,29,12
29/08/2008,10,33,38,24,23,19,19,-99,40,5
29/08/2008,11,36,-99,21,35,24,15,-99,33,14
29/08/2008,12,51,-99,35,34,33,18,-99,37,14
29/08/2008,13,55,36,53,35,15,21,-99,38,4
29/08/2008,14,33,30,55,14,26,17,-99,19,15
29/08/2008,15,21,24,42,10,17,17,14,33,8
29/08/2008,16,10,12,16,3,8,5,5,31,2
29/08/2008,17,4,11,5,3,6,9,12,-99,2
29/08/2008,18,4,14,8,6,1,9,4,20,9
29/08/2008,19,11,14,7,15,11,8,11,27,7
29/08/2008,20,13,12,8,14,4,11,18,24,8
29/08/2008,21,10,13,11,15,-99,7,19,25,4
29/08/2008,22,9,15,11,8,17,7,32,13,8
29/08/2008,23,9,9,10,23,1,11,25,18,10
