FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
05/01/2015,5,-99,-99,-99,5,8,7,-99,10,-99,10,8,1,7,6,8,9,-99,7,6,-99,,,,,,,
05/01/2015,6,-99,-99,-99,8,5,5,-99,11,-99,10,4,1,5,3,7,4,-99,5,9,-99,,,,,,,
05/01/2015,7,-99,-99,-99,10,4,6,-99,-99,-99,12,11,2,3,6,7,4,-99,5,5,-99,,,,,,,
05/01/2015,8,-99,-99,-99,10,8,9,-99,14,-99,16,9,7,4,14,3,7,-99,6,9,-99,,,,,,,
05/01/2015,9,-99,-99,-99,14,10,9,-99,11,-99,8,10,6,6,11,5,9,-99,8,15,-99,,,,,,,
05/01/2015,10,-99,-99,-99,21,10,9,-99,10,-99,16,10,6,3,3,-99,9,-99,11,23,-99,,,,,,,
05/01/2015,11,-99,-99,-99,14,4,10,-99,11,-99,9,8,8,7,24,11,11,-99,4,28,-99,,,,,,,
05/01/2015,12,-99,-99,-99,18,3,10,-99,16,-99,24,12,19,8,36,2,11,-99,4,14,-99,,,,,,,
05/01/2015,13,-99,-99,-99,18,8,13,-99,17,-99,24,15,13,10,2,12,11,-99,5,18,-99,,,,,,,
05/01/2015,14,-99,-99,-99,24,9,21,-99,14,-99,20,19,18,10,39,14,15,-99,8,29,-99,,,,,,,
05/01/2015,15,-99,-99,-99,26,19,22,-99,19,-99,38,23,24,15,19,12,27,-99,19,23,-99,,,,,,,
05/01/2015,16,-99,-99,-99,24,18,23,-99,27,-99,10,25,23,14,22,8,23,-99,20,28,-99,,,,,,,
05/01/2015,17,-99,-99,-99,21,19,23,-99,18,-99,16,23,20,21,14,9,14,-99,23,33,-99,,,,,,,
05/01/2015,18,-99,-99,-99,22,20,22,-99,23,-99,35,17,5,21,3,18,14,-99,22,32,-99,,,,,,,
05/01/2015,19,-99,-99,-99,24,15,16,-99,22,-99,23,11,9,7,3,14,22,-99,18,29,-99,,,,,,,
05/01/2015,20,-99,-99,-99,23,11,17,-99,20,-99,20,12,18,7,3,12,17,-99,19,22,-99,,,,,,,
05/01/2015,21,-99,-99,-99,13,10,15,-99,16,-99,13,13,9,12,-99,13,10,-99,17,24,-99,,,,,,,
05/01/2015,22,-99,-99,-99,20,14,17,-99,14,-99,17,14,5,21,12,21,10,-99,13,18,-99,,,,,,,
05/01/2015,23,-99,-99,-99,12,14,17,-99,8,-99,17,13,11,17,10,21,13,-99,15,6,-99,,,,,,,
