FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
04/06/2015,21,23,27,48,-99,29,15,42,51,22,37,-99,32,31,27,27,31,19,68,1,39,47,37,41,35,,,
04/06/2015,22,21,22,36,-99,23,31,16,54,15,29,-99,33,33,23,31,38,-99,1,23,28,37,39,37,64,,,
04/06/2015,23,24,16,33,-99,28,21,15,35,28,39,-99,26,30,30,26,27,15,1,11,57,29,38,29,74,,,
04/06/2015,24,26,17,25,-99,34,20,13,21,25,43,-99,16,34,28,17,37,30,17,32,54,39,18,43,59,,,
05/06/2015,1,21,-99,36,-99,33,15,16,22,18,45,-99,22,18,24,26,22,27,33,21,29,37,14,26,30,,,
05/06/2015,2,17,-99,40,-99,31,20,26,33,27,36,-99,21,25,25,23,24,24,22,5,41,35,18,28,44,,,
05/06/2015,3,16,-99,48,-99,44,9,24,52,32,48,-99,21,30,26,12,26,26,31,5,41,36,10,49,31,,,
05/06/2015,4,33,-99,43,-99,40,10,23,42,38,53,-99,23,53,25,12,30,26,21,26,44,35,24,43,48,,,
05/06/2015,5,35,-99,39,-99,52,28,21,84,40,55,-99,23,46,29,11,37,31,20,19,60,52,40,50,62,,,
05/06/2015,6,34,-99,35,-99,53,4,28,86,60,54,-99,30,59,37,28,37,34,15,35,84,60,29,52,93,,,
05/06/2015,7,62,-99,60,-99,57,39,46,155,100,53,-99,32,67,42,50,49,46,39,57,93,75,58,91,91,,,
05/06/2015,8,46,-99,65,-99,70,43,52,132,56,64,-99,32,54,50,42,44,53,48,58,90,112,55,131,97,,,
05/06/2015,9,33,-99,57,-99,77,32,39,101,57,66,-99,40,66,59,65,58,42,37,38,95,98,55,92,83,,,
05/06/2015,10,33,-99,65,-99,72,17,49,103,69,48,-99,35,59,46,-99,67,39,32,22,94,99,36,104,89,,,
05/06/2015,11,29,-99,51,-99,55,31,58,116,74,31,-99,24,50,36,-99,34,61,34,1,91,91,34,88,29,,,
05/06/2015,12,25,-99,64,-99,41,32,64,133,42,45,-99,22,40,47,-99,36,56,43,28,70,56,38,66,58,,,
05/06/2015,13,21,-99,16,-99,47,24,44,121,33,54,-99,27,49,48,49,25,47,32,31,57,47,10,50,51,,,
05/06/2015,14,29,-99,29,-99,45,9,34,98,44,61,-99,30,35,48,48,36,44,8,1,69,32,16,51,69,,,
05/06/2015,15,28,-99,40,-99,31,1,30,82,32,51,-99,30,31,37,51,38,39,1,1,62,43,34,38,77,,,
05/06/2015,16,25,-99,35,-99,58,24,17,63,43,51,-99,26,19,43,24,38,12,36,21,37,44,30,55,36,,,
05/06/2015,17,38,-99,14,-99,52,28,11,44,19,52,-99,24,60,40,32,20,14,39,9,33,42,19,4,72,,,
05/06/2015,18,29,-99,24,-99,69,53,11,89,36,52,-99,31,60,51,45,29,18,33,26,78,37,19,61,59,,,
05/06/2015,19,42,-99,95,-99,67,22,10,49,50,32,-99,31,42,43,37,-99,26,56,1,77,82,28,64,50,,,
05/06/2015,20,31,-99,41,-99,63,46,24,55,79,78,-99,28,57,59,41,48,36,62,38,88,48,23,50,60,,,
05/06/2015,21,25,-99,51,-99,57,33,42,41,41,72,-99,48,60,49,51,43,42,83,31,58,39,53,51,46,,,
05/06/2015,22,22,-99,27,-99,37,35,40,37,32,51,-99,54,54,36,47,39,35,43,77,50,53,60,45,46,,,
05/06/2015,23,24,-99,27,-99,47,14,44,28,27,49,-99,31,51,35,40,54,40,41,4,45,38,46,63,39,,,
05/06/2015,24,30,-99,20,-99,43,4,37,24,27,51,-99,37,43,34,41,36,30,34,41,40,48,49,47,52,,,
06/06/2015,1,29,27,32,-99,44,4,34,21,24,59,-99,39,46,34,30,42,37,50,37,46,36,36,47,53,,,
06/06/2015,2,27,28,24,-99,45,1,32,27,24,52,-99,43,53,34,44,47,38,33,42,38,32,33,50,41,,,
06/06/2015,3,13,32,20,-99,43,1,23,42,29,61,-99,38,55,37,41,18,34,23,39,45,41,49,51,37,,,
06/06/2015,4,14,36,18,-99,41,9,32,36,25,49,-99,39,52,37,31,33,39,19,36,50,49,34,53,42,,,
06/06/2015,5,11,39,29,-99,42,18,29,43,25,48,-99,41,41,39,31,54,28,29,34,49,47,37,51,50,,,
06/06/2015,6,19,39,35,-99,54,16,36,49,31,56,-99,39,57,40,41,59,44,36,16,53,49,32,53,60,,,
06/06/2015,7,44,33,41,-99,59,17,30,48,36,54,-99,39,64,43,49,54,32,36,37,58,63,39,65,60,,,
06/06/2015,8,44,37,36,-99,60,46,39,51,39,58,-99,38,50,49,37,74,39,37,32,67,77,32,68,84,,,
06/06/2015,9,43,46,27,-99,71,57,43,69,47,50,-99,29,56,54,54,56,50,43,19,67,69,40,51,90,,,
06/06/2015,10,38,53,15,-99,66,51,33,57,29,94,-99,37,67,53,69,61,45,51,-99,78,70,67,56,88,,,
06/06/2015,11,41,57,13,-99,69,14,25,46,38,83,-99,53,81,40,76,65,40,21,-99,90,71,81,54,104,,,
06/06/2015,12,41,62,23,-99,90,37,16,44,66,93,-99,51,74,51,74,69,24,55,21,103,51,79,61,101,,,
06/06/2015,13,34,-99,33,-99,79,62,36,42,58,91,-99,47,78,83,85,69,70,50,67,81,56,63,51,61,,,
06/06/2015,14,41,-99,14,-99,57,84,53,44,20,85,-99,49,80,73,37,61,40,88,34,66,62,59,49,46,,,
06/06/2015,15,43,-99,28,-99,59,27,35,96,28,51,-99,-99,61,49,35,65,46,48,25,64,41,70,98,58,,,
06/06/2015,16,57,-99,54,-99,41,59,22,7,43,32,-99,-99,62,30,15,66,7,1,57,48,70,64,62,68,,,
06/06/2015,17,59,15,18,-99,26,13,11,23,1,10,-99,-99,41,28,11,42,14,35,53,20,26,32,57,63,,,
