FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
05/01/2019,12,18,33,42,63,44,39,43,-99,25,35,51,-99,60,61,-99,63,36,-99,63,46,23,7,36,42,-99,52,41,-99,19,70,-99,35,67,22,82
05/01/2019,13,14,20,31,37,39,36,45,-99,19,14,27,-99,45,31,-99,40,21,-99,48,27,13,6,31,34,-99,28,28,-99,23,44,-99,29,46,16,57
05/01/2019,14,10,15,21,21,37,22,22,-99,20,8,37,-99,19,28,-99,27,13,-99,38,20,13,7,24,20,-99,12,22,-99,27,32,-99,22,28,8,22
05/01/2019,15,11,17,12,15,31,19,15,-99,16,9,26,-99,13,28,-99,27,13,-99,33,22,10,9,20,18,-99,14,16,-99,20,29,-99,18,20,9,25
05/01/2019,16,10,16,12,20,25,18,15,-99,21,11,18,-99,13,29,-99,25,14,-99,31,25,8,7,14,16,-99,15,17,-99,18,27,-99,20,17,7,26
05/01/2019,17,9,21,15,18,24,23,17,-99,24,12,20,-99,10,25,-99,26,17,-99,39,27,7,5,14,25,-99,-99,22,-99,17,22,-99,18,16,7,23
05/01/2019,18,13,35,21,21,27,26,16,-99,23,11,32,-99,17,33,-99,29,32,-99,38,33,7,5,20,29,-99,-99,23,-99,17,26,-99,22,21,12,26
05/01/2019,19,13,31,26,29,44,35,20,-99,31,23,31,-99,39,34,-99,44,34,-99,63,34,22,5,30,39,-99,-99,29,-99,32,46,-99,25,39,22,32
05/01/2019,20,15,26,31,33,38,41,28,-99,33,21,28,-99,27,32,-99,44,25,-99,37,48,23,7,31,51,-99,-99,34,-99,42,31,-99,25,32,19,35
05/01/2019,21,22,41,29,28,42,25,39,-99,28,16,28,-99,27,32,-99,33,29,-99,37,33,23,10,38,53,-99,-99,28,-99,35,40,-99,28,34,22,45
05/01/2019,22,24,22,29,32,43,37,38,-99,28,14,20,-99,48,33,-99,38,35,-99,45,26,43,12,39,40,-99,-99,36,-99,31,35,-99,35,48,32,59
05/01/2019,23,18,16,24,25,40,34,29,-99,33,16,18,-99,47,26,-99,32,37,-99,44,27,32,9,48,37,-99,-99,38,-99,33,38,-99,35,46,31,57
05/01/2019,24,25,12,21,30,41,31,48,-99,51,18,34,-99,50,26,-99,36,35,-99,49,24,32,6,48,30,-99,35,40,-99,28,41,-99,45,50,-99,56
06/01/2019,1,35,10,27,42,36,41,44,-99,34,35,26,-99,48,34,-99,38,30,-99,48,41,37,7,47,25,-99,39,28,-99,34,36,-99,46,54,28,55
06/01/2019,2,38,11,26,46,42,38,45,-99,50,34,33,-99,47,37,-99,43,26,-99,40,32,37,5,47,17,-99,43,19,-99,22,39,-99,38,46,42,48
06/01/2019,3,35,9,28,45,41,33,28,-99,30,30,31,-99,43,32,-99,43,43,-99,44,40,40,4,43,17,-99,41,19,-99,27,25,-99,40,48,41,47
06/01/2019,4,24,7,31,45,48,35,33,-99,23,26,21,-99,39,51,-99,43,42,-99,49,42,37,3,38,20,-99,39,22,-99,26,22,-99,34,46,36,43
06/01/2019,5,21,6,23,40,43,36,30,-99,24,27,22,-99,35,47,-99,46,40,-99,45,31,30,3,41,22,-99,41,20,-99,23,24,-99,30,45,36,42
06/01/2019,6,22,8,23,39,42,26,33,-99,17,24,24,-99,34,44,-99,45,38,-99,46,43,25,4,36,16,-99,39,17,-99,26,28,-99,25,43,36,41
06/01/2019,7,23,10,29,39,42,26,25,-99,34,24,35,-99,37,46,-99,44,36,-99,50,45,22,3,34,24,-99,35,37,-99,31,28,-99,29,41,30,40
06/01/2019,8,25,16,34,38,44,28,26,-99,41,23,32,-99,35,48,-99,49,36,-99,50,43,22,3,32,35,-99,32,-99,-99,27,34,-99,28,38,27,38
06/01/2019,9,26,19,36,42,48,30,31,-99,53,28,33,-99,39,46,-99,49,38,-99,47,46,28,5,33,33,-99,38,37,-99,33,35,-99,31,43,28,48
06/01/2019,10,26,32,34,53,51,44,28,-99,36,28,48,-99,56,65,-99,56,46,-99,63,49,27,7,37,31,-99,43,28,-99,37,41,-99,28,49,34,60
06/01/2019,11,28,24,23,51,49,42,25,-99,22,24,46,-99,58,65,-99,53,54,-99,62,48,23,6,44,29,-99,52,13,-99,26,55,-99,27,66,46,56
06/01/2019,12,26,26,17,34,25,33,29,-99,13,18,24,-99,35,43,-99,42,42,-99,44,35,19,7,38,22,-99,49,19,-99,16,36,-99,22,40,32,55
06/01/2019,13,15,17,10,21,22,21,23,-99,10,11,18,-99,26,23,-99,24,22,-99,26,16,8,4,24,19,-99,29,13,-99,15,23,-99,15,30,12,46
06/01/2019,14,9,12,9,12,16,13,8,-99,11,6,13,-99,19,17,-99,16,13,-99,19,14,5,5,19,13,-99,13,11,-99,15,16,-99,12,18,5,20
06/01/2019,15,8,11,10,10,15,13,8,-99,11,6,15,-99,6,16,-99,14,12,-99,19,12,5,8,18,11,-99,10,9,-99,17,16,-99,11,20,5,17
06/01/2019,16,8,11,8,8,11,12,9,-99,11,8,13,-99,5,11,-99,13,10,-99,17,14,4,7,10,12,-99,11,10,-99,19,15,-99,13,14,6,16
06/01/2019,17,7,14,12,8,12,11,9,-99,12,7,14,-99,5,12,-99,14,16,-99,15,14,4,5,11,11,-99,12,8,-99,13,21,-99,10,9,6,17
06/01/2019,18,12,20,17,12,18,13,12,-99,17,8,23,-99,12,17,-99,20,23,-99,24,31,5,5,19,16,-99,17,15,-99,14,18,-99,12,13,7,15
06/01/2019,19,21,24,24,22,35,26,24,-99,29,17,41,-99,34,26,-99,34,47,-99,39,35,8,9,35,33,-99,30,31,-99,31,32,-99,22,29,19,20
06/01/2019,20,24,21,27,33,48,39,35,-99,29,35,37,-99,36,41,-99,48,55,-99,48,34,23,9,50,44,-99,45,66,-99,27,60,-99,54,50,34,26
06/01/2019,21,16,18,24,46,49,43,49,-99,31,30,36,-99,26,40,-99,42,29,-99,41,35,22,17,34,50,-99,40,58,-99,28,64,-99,60,38,31,34
06/01/2019,22,18,31,38,25,38,44,37,-99,47,34,44,-99,30,25,-99,48,35,-99,39,38,31,18,42,51,-99,36,48,-99,44,55,-99,51,45,43,37
06/01/2019,23,19,20,20,40,66,33,21,-99,57,44,45,-99,47,39,-99,48,50,-99,44,56,35,15,51,27,-99,52,38,-99,28,60,-99,55,54,49,41
06/01/2019,24,27,14,24,55,65,24,36,-99,56,43,37,-99,56,45,-99,53,53,-99,59,55,42,8,51,23,-99,51,29,-99,26,48,-99,53,53,49,59
07/01/2019,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/01/2019,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/01/2019,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/01/2019,4,21,5,16,41,50,35,36,-99,16,-99,16,-99,36,48,-99,45,42,-99,45,26,21,3,35,12,-99,38,19,-99,18,23,-99,27,45,35,45
07/01/2019,5,21,12,20,36,44,23,29,-99,13,-99,18,-99,38,48,-99,44,40,-99,47,48,31,4,35,13,-99,36,22,-99,18,23,-99,24,46,35,40
07/01/2019,6,25,7,31,41,47,26,34,-99,25,-99,29,-99,34,48,-99,44,37,-99,51,51,33,6,35,14,-99,37,45,-99,24,36,-99,30,42,35,41
07/01/2019,7,29,12,41,40,48,31,34,-99,51,-99,39,-99,32,47,-99,43,39,-99,53,55,32,8,40,33,-99,38,56,-99,26,45,-99,32,43,34,39
