FECHA,HORA,ACO,ATI,CAM,CHO,COY,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
03/03/2014,18,8,21,25,-99,36,-99,35,13,42,21,29,13,-99,-99,9,-99,30,21,45,13,32,6,38,15,9,14,21,14,-99
03/03/2014,19,10,20,38,-99,42,-99,28,12,36,31,46,16,-99,-99,17,-99,38,21,33,23,31,8,-99,25,9,15,45,14,-99
03/03/2014,20,8,14,35,-99,34,-99,18,18,17,28,43,30,-99,-99,12,-99,31,21,23,28,37,13,26,40,25,30,49,14,-99
03/03/2014,21,6,18,35,-99,23,-99,12,19,15,29,35,26,-99,-99,6,-99,18,21,16,21,25,32,23,19,19,27,38,11,-99
03/03/2014,22,9,27,27,-99,24,-99,15,16,21,24,33,23,-99,-99,7,-99,18,24,17,19,22,29,29,21,19,27,29,16,-99
03/03/2014,23,9,29,33,-99,26,-99,13,18,21,25,28,24,-99,-99,7,-99,20,20,14,32,22,25,24,28,22,26,33,20,-99
03/03/2014,24,11,28,26,-99,24,-99,-99,22,14,24,32,17,-99,-99,22,-99,20,18,16,34,23,21,23,25,14,28,36,23,-99
04/03/2014,1,12,15,31,-99,20,-99,-99,26,12,18,23,21,-99,-99,25,-99,18,20,25,29,22,22,21,23,13,34,36,12,-99
04/03/2014,2,18,16,36,-99,23,-99,-99,21,18,25,26,22,-99,-99,22,-99,23,27,21,29,29,16,28,19,11,28,38,22,-99
04/03/2014,3,17,20,38,-99,36,-99,-99,13,23,30,39,25,-99,-99,18,-99,29,23,21,33,27,16,31,22,9,27,39,19,-99
04/03/2014,4,17,21,39,-99,38,-99,-99,19,22,36,39,22,-99,-99,16,-99,30,23,26,29,23,16,25,26,8,19,32,22,-99
04/03/2014,5,16,23,38,-99,26,-99,-99,21,23,37,22,22,-99,-99,23,-99,26,24,31,27,12,21,28,35,14,17,25,22,-99
04/03/2014,6,17,27,39,-99,30,-99,31,16,23,31,33,28,-99,34,16,-99,28,26,35,28,29,19,27,34,11,28,33,22,-99
04/03/2014,7,21,27,31,-99,29,-99,26,13,28,34,37,25,-99,34,17,-99,29,29,39,27,31,23,29,27,11,32,35,22,-99
04/03/2014,8,22,30,41,-99,36,-99,36,17,35,35,40,27,-99,40,21,-99,32,27,33,32,35,29,35,32,12,29,37,23,-99
04/03/2014,9,21,46,49,-99,49,-99,22,27,44,40,50,33,-99,51,15,-99,41,32,25,51,46,31,39,51,28,25,31,33,-99
04/03/2014,10,10,35,55,-99,41,-99,10,50,25,56,30,27,-99,43,8,-99,45,27,9,43,29,11,31,51,32,15,19,44,-99
04/03/2014,11,6,13,45,-99,24,-99,8,56,10,33,23,29,-99,35,-99,-99,31,26,-99,34,16,4,21,26,16,6,9,30,-99
04/03/2014,12,8,8,35,-99,16,-99,8,37,7,23,17,31,-99,22,-99,-99,16,30,22,23,10,4,11,11,13,5,6,19,-99
04/03/2014,13,9,8,24,-99,15,-99,9,27,12,17,16,20,-99,19,-99,-99,12,24,-99,16,10,6,14,13,11,5,7,15,-99
04/03/2014,14,10,7,21,-99,17,-99,9,8,11,17,20,18,-99,21,-99,-99,10,17,8,17,13,5,16,12,10,6,9,12,-99
