FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
07/01/2010,14,1.6,1.3,1.7,-99,1.1,-99,0.8,-99,1.5,1.1,1.0,0.6,0.9,0.9,0.6,1.3,0.8
07/01/2010,15,1.8,1.4,1.4,1.2,1.4,-99,0.8,1.4,1.4,1.0,1.0,0.5,1.0,1.3,0.8,1.3,0.8
07/01/2010,16,1.7,1.3,1.8,1.0,1.4,1.6,0.9,1.6,1.4,1.2,1.0,0.6,1.1,-99,1.0,1.5,0.9
07/01/2010,17,2.1,1.5,1.7,1.0,1.9,1.5,1.0,0.9,1.6,1.4,0.9,0.5,1.0,0.8,1.0,1.5,0.8
07/01/2010,18,2.2,1.0,1.1,0.8,1.1,1.1,1.0,0.7,1.1,1.3,1.0,0.6,1.2,0.9,0.5,1.2,0.8
07/01/2010,19,1.4,1.1,1.2,1.2,1.7,2.1,1.7,1.5,1.2,2.4,1.1,0.8,1.1,1.2,1.7,1.1,1.0
07/01/2010,20,1.3,1.2,1.2,1.3,1.4,1.9,1.4,1.6,1.2,3.0,1.1,0.6,1.3,1.2,1.7,1.2,1.0
07/01/2010,21,1.1,1.0,0.8,0.9,1.1,1.4,0.7,1.3,0.9,2.4,1.2,0.6,1.1,1.2,1.0,0.9,1.8
07/01/2010,22,1.0,0.6,0.7,0.7,0.9,1.4,0.5,1.5,1.0,1.9,1.3,0.7,1.1,1.3,0.7,0.9,1.2
07/01/2010,23,1.1,0.5,0.7,0.8,1.5,1.3,0.4,1.5,0.9,1.5,1.2,0.6,1.0,0.8,0.6,0.9,1.4
07/01/2010,24,1.0,0.5,0.6,0.5,1.2,1.2,0.3,1.2,0.8,1.2,0.9,0.5,0.8,0.9,0.4,0.7,1.2
08/01/2010,1,0.7,0.3,0.6,0.3,0.9,0.9,0.3,1.1,0.6,0.8,0.7,0.4,0.6,0.4,0.2,0.6,1.0
08/01/2010,2,0.5,0.3,0.6,0.2,0.6,0.7,0.3,0.9,0.5,0.7,0.6,0.4,0.5,0.4,0.1,0.4,0.6
08/01/2010,3,0.4,0.2,0.6,0.2,0.6,0.6,0.2,0.8,0.4,0.5,0.6,0.4,0.5,0.2,0.0,0.3,0.6
08/01/2010,4,0.4,0.2,0.5,0.2,0.5,0.6,0.2,0.6,0.5,0.5,0.6,0.5,0.5,0.2,0.0,0.3,0.6
08/01/2010,5,0.4,0.2,0.5,0.2,0.5,0.7,0.3,0.7,0.6,0.5,0.7,0.5,0.5,0.4,0.0,0.3,0.6
08/01/2010,6,0.5,0.3,0.8,0.4,0.6,0.7,0.3,0.9,0.7,1.0,0.8,0.5,0.8,0.7,0.0,0.4,0.6
08/01/2010,7,0.8,0.6,1.3,0.8,0.9,1.3,0.3,1.2,1.0,1.7,1.2,0.7,1.2,-99,-99,1.0,0.8
08/01/2010,8,1.2,1.1,1.6,0.9,1.3,1.9,0.7,1.4,1.6,2.2,1.7,0.9,1.5,-99,-99,1.5,1.4
08/01/2010,9,2.4,1.6,2.3,1.2,1.6,2.2,0.9,1.5,2.1,2.4,2.0,1.1,1.5,-99,-99,2.1,1.0
08/01/2010,10,2.6,2.7,2.6,2.0,1.3,1.8,1.0,1.1,2.0,1.6,2.1,1.3,1.6,1.8,0.6,2.0,1.1
