FECHA,HORA,ACO,CAM,FAC,IZT,MER,PED,SAG,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
29/04/2011,20,-99,-99,100,103,95,99,103,79,65,128,124,-99,131,147,,,,,,,,
29/04/2011,21,-99,-99,98,83,83,92,68,123,81,102,111,-99,76,73,,,,,,,,
29/04/2011,22,-99,-99,90,86,81,102,92,70,50,101,72,-99,75,97,,,,,,,,
29/04/2011,23,-99,-99,87,83,82,86,87,70,43,109,78,-99,86,123,,,,,,,,
29/04/2011,24,-99,-99,76,76,81,76,91,67,55,101,-99,-99,84,122,,,,,,,,
30/04/2011,1,-99,-99,72,80,-99,80,100,53,53,87,-99,-99,95,111,,,,,,,,
30/04/2011,2,-99,-99,70,65,57,56,66,35,38,83,-99,-99,90,108,,,,,,,,
30/04/2011,3,-99,-99,60,39,36,51,109,29,53,92,89,-99,64,69,,,,,,,,
30/04/2011,4,-99,-99,63,38,42,46,98,35,56,92,104,-99,79,100,,,,,,,,
30/04/2011,5,-99,-99,64,47,48,106,125,48,54,118,89,-99,125,107,,,,,,,,
30/04/2011,6,-99,-99,75,53,80,57,147,49,43,116,113,-99,114,143,,,,,,,,
30/04/2011,7,-99,-99,119,69,101,58,180,69,75,127,137,-99,145,204,,,,,,,,
30/04/2011,8,-99,-99,168,82,115,92,164,72,76,115,150,-99,193,210,,,,,,,,
30/04/2011,9,-99,-99,106,74,48,67,121,68,84,115,158,-99,190,160,,,,,,,,
30/04/2011,10,-99,-99,113,76,12,74,83,80,71,111,112,-99,131,114,,,,,,,,
30/04/2011,11,-99,-99,93,77,-99,81,85,73,62,112,85,-99,108,105,,,,,,,,
30/04/2011,12,-99,-99,73,85,-99,102,96,79,61,109,80,-99,117,107,,,,,,,,
30/04/2011,13,-99,-99,58,90,-99,103,85,61,37,86,43,-99,87,73,,,,,,,,
30/04/2011,14,-99,-99,64,90,-99,62,78,57,66,77,37,-99,32,87,,,,,,,,
30/04/2011,15,-99,-99,62,74,-99,70,86,44,49,70,12,-99,66,77,,,,,,,,
30/04/2011,16,-99,-99,62,79,-99,70,95,55,72,65,62,-99,51,83,,,,,,,,
30/04/2011,17,-99,-99,62,72,-99,78,95,66,234,66,25,-99,34,82,,,,,,,,
30/04/2011,18,-99,-99,95,89,-99,92,63,143,91,65,35,-99,59,67,,,,,,,,
30/04/2011,19,-99,-99,86,131,-99,85,144,90,76,61,111,-99,183,112,,,,,,,,
30/04/2011,20,-99,-99,61,77,-99,77,97,163,98,87,269,-99,543,149,,,,,,,,
30/04/2011,21,-99,-99,106,155,-99,105,42,123,195,65,49,-99,79,108,,,,,,,,
30/04/2011,22,-99,-99,36,58,-99,55,48,78,98,61,77,-99,88,49,,,,,,,,
30/04/2011,23,-99,-99,38,55,-99,54,56,22,1,35,46,-99,64,58,,,,,,,,
30/04/2011,24,-99,-99,36,42,-99,49,52,34,10,72,34,-99,43,52,,,,,,,,
01/05/2011,1,-99,-99,35,49,-99,48,47,37,31,64,28,-99,35,50,,,,,,,,
01/05/2011,2,-99,-99,36,31,-99,45,48,10,-99,67,27,-99,67,41,,,,,,,,
01/05/2011,3,-99,-99,41,37,-99,30,44,-99,65,41,25,-99,58,43,,,,,,,,
01/05/2011,4,-99,-99,47,36,-99,29,57,23,50,47,61,-99,36,38,,,,,,,,
01/05/2011,5,-99,-99,35,34,-99,53,78,31,6,47,58,-99,63,62,,,,,,,,
01/05/2011,6,-99,-99,35,50,-99,56,87,51,7,54,46,-99,79,85,,,,,,,,
01/05/2011,7,-99,-99,51,62,-99,53,95,41,57,61,58,-99,114,111,,,,,,,,
01/05/2011,8,-99,-99,62,50,-99,67,77,60,62,58,84,-99,127,108,,,,,,,,
01/05/2011,9,-99,-99,51,45,-99,57,65,27,45,69,112,-99,126,90,,,,,,,,
